Month,Year,Rainfall_x,WPI_x,WPI_y,Rainfall_y,Rainfall_Deviation,Flood_Flag,Crop,Rainfall ,Rainfall
4,2012,47.5,101.2,158.89999999999998,194.1,-53.269444444444446,False,Cotton,205.2,194.1
5,2012,31.7,101.5,158.89999999999998,194.1,-53.269444444444446,False,Cotton,205.2,194.1
6,2012,117.8,102.5,104.0,458.1,210.7305555555556,False,Cotton,205.2,194.1
6,2012,117.8,102.5,104.0,615.8,368.43055555555554,True,Cotton,205.2,194.1
6,2012,117.8,102.5,104.0,693.4,446.0305555555556,True,Cotton,205.2,194.1
6,2012,117.8,102.5,104.0,398.6,151.23055555555558,False,Cotton,205.2,194.1
6,2012,117.8,102.5,104.0,554.2,306.83055555555563,True,Cotton,205.2,194.1
6,2012,117.8,102.5,104.0,144.5,-102.86944444444444,False,Cotton,205.2,194.1
6,2012,117.8,102.5,104.0,168.9,-78.46944444444443,False,Cotton,205.2,194.1
6,2012,117.8,102.5,104.0,120.9,-126.46944444444443,False,Cotton,205.2,194.1
6,2012,117.8,102.5,104.0,89.8,-157.56944444444446,False,Cotton,205.2,194.1
6,2012,117.8,102.5,104.0,23.1,-224.26944444444445,False,Cotton,205.2,194.1
6,2012,117.8,102.5,104.0,5.8,-241.56944444444443,False,Cotton,205.2,194.1
6,2012,117.8,102.5,104.0,49.9,-197.46944444444443,False,Cotton,205.2,194.1
6,2012,117.8,102.5,104.0,5.1,-242.26944444444445,False,Cotton,205.2,194.1
6,2012,117.8,102.5,104.0,10.0,-237.36944444444444,False,Cotton,205.2,194.1
6,2012,117.8,102.5,104.0,23.4,-223.96944444444443,False,Cotton,205.2,194.1
6,2012,117.8,102.5,104.0,45.8,-201.56944444444449,False,Cotton,205.2,194.1
6,2012,117.8,102.5,104.0,5.4,-241.96944444444443,False,Cotton,205.2,194.1
6,2012,117.8,102.5,104.0,11.2,-236.16944444444445,False,Cotton,205.2,194.1
6,2012,117.8,102.5,104.0,38.2,-209.1694444444444,False,Cotton,205.2,194.1
6,2012,117.8,102.5,104.0,63.5,-183.86944444444444,False,Cotton,205.2,194.1
6,2012,117.8,102.5,104.0,35.8,-211.56944444444449,False,Cotton,205.2,194.1
6,2012,117.8,102.5,104.0,23.0,-224.36944444444444,False,Cotton,205.2,194.1
6,2012,117.8,102.5,104.0,611.6,364.2305555555556,True,Cotton,205.2,194.1
6,2012,117.8,102.5,104.0,67.9,-179.46944444444443,False,Cotton,205.2,194.1
6,2012,117.8,102.5,104.0,72.2,-175.16944444444442,False,Cotton,205.2,194.1
6,2012,117.8,102.5,104.0,125.6,-121.76944444444445,False,Cotton,205.2,194.1
6,2012,117.8,102.5,104.0,134.4,-112.96944444444443,False,Cotton,205.2,194.1
6,2012,117.8,102.5,104.0,79.3,-168.06944444444446,False,Cotton,205.2,194.1
6,2012,117.8,102.5,104.0,106.6,-140.76944444444445,False,Cotton,205.2,194.1
6,2012,117.8,102.5,104.0,37.9,-209.46944444444443,False,Cotton,205.2,194.1
6,2012,117.8,102.5,104.0,25.4,-221.96944444444443,False,Cotton,205.2,194.1
6,2012,117.8,102.5,104.0,677.2,429.8305555555556,True,Cotton,205.2,194.1
6,2012,117.8,102.5,104.0,60.4,-186.96944444444443,False,Cotton,205.2,194.1
6,2012,117.8,102.5,104.0,80.4,-166.96944444444443,False,Cotton,205.2,194.1
6,2012,117.8,102.5,104.0,429.7,182.33055555555555,False,Cotton,205.2,194.1
